"","Artist","Song","Lyrics"
0,"The Buckinghams","Don't You Care","If you don't love me
I won't do anything wrong
Hey, Mr. Spaceman
Won't you please take me along for a ride
Hey, Mr. Spaceman
Won't you please take me along
I won't do anything wrong
Hey, Mr. Spaceman
Won't you please take me along for a ride
"
111,"The Byrds","Glory Glory","Glory, Glory Hallelujah
Since I laid my burden down
Glory, Glory Hallelujah
Since I laid my burden down
I feel so much better
So much better
Since I laid my burden down
I feel so much better
So much better
Since I laid my burden down
Glory, Glory Hallelujah
Since I laid my burden down
Glory, Glory Hallelujah
Since I laid my burden down
Thank you Jesus, Thank you Jesus
Help me lay my burden down
I wanna thank you Jesus, thank you Jesus
Help me lay my burden down
Since I laid my burden down
Glory, Glory Hallelujah
Since I laid my burden down
Glory, Glory Hallelujah"
112,"The Byrds","Mr. Tambourine Man","Hey, Mr. Tambourine man, play a song for me
I'm not sleepy and there ain't no place I'm going to
Hey, Mr. Tambourine man, play a song for me
In the jingle jangle morning, I'll come followin' you
Take me for a trip upon your magic swirling ship
All my senses have been stripped
And my hands can't feel to grip and my toes too numb to step
Wait only for my boot heels to be wandering
I'm ready to go anywhere, I'm ready for to fade
Into my own parade
Cast your dancing spell my way
I promise to go under it
Hey, Mr. Tambourine man, play a song for me
I'm not sleepy and there ain't no place I'm going to
Hey, Mr. Tambourine man, play a song for me
In the jingle jangle morning, I'll come followin' you
"
113,"The Byrds","Truck Stop Girl","=

Tailights flickerin', as he pulled up to a truck stop
The same old crowd was hangin' out again tonight
He said, ""Fill up my tank while I go check my load
It feels like it's shifting all around""

He was the kind of man, do all he could
Above all he had integrity
But he was so young
And on a ten city run
In love with a truck stop girl

As he went inside, he was merrily greeted
By the girl with whom he was in love
She held out a glass and said, ""Have another
This is the last time we can meet""

With her hair piled up high and a look in her eye
That would turn any good man's blood to wine
All his eyes could see, well all his eyes could see
Was the stare from all those around him

He ran out to the lot, and climbed into his rig
And drove off without tightening down
It was a terrible thing, to see what remained
Of the rig that poor Danny was in

And he was so young and on a ten city run
In love with a truck stop girl
But he was so young, and on a ten city run
In love with a truck stop girl"
114,"The Byrds","Eight Miles High","Eight miles high and when you touch down
You'll find that it's stranger than known
Signs in the street that say where you're going
Are somewhere just being their own

Nowhere is there warmth to be found
Among those afraid of losing their ground
Rain gray town known for its sound
In places small faces unbound
                                
Round the squares huddled in storms
Some laughing some just shapeless forms
Sidewalk scenes and black limousines
Some living some standing alone"
116,"The Byrds","For Free","I slept last night in a good hotel
I went shopping today for jewels
The wind rushed around the dirty room
And the children let out from their schools

I was standing on a noisy corner
Waiting for the walking green
Across the street he stood
And he played real good
On his clarinet, for free

Now me I play for fortune
And those velvet curtain calls    
I've got a black limousine
And two ladies escorting me to the halls

And I play if you have the money
Or if you're a friend to me
But the one man band
By the quick lunch stand
He was playing real good, for free

Nobody stopped to hear him
Though he played so sweet and high
They knew he had never
Been on the TV screen

So they passed his music by
I meant to go over and ask for a song
Maybe put on a harmony
I heard his refrain

As the signal changed
He was still playing real good, for free"
119,"Sir Douglas Quintet","She's About A Mover","Well, she was a-walkin' down the street, lookin' fine as she could be.
Hey, hey!
Well, she was a-walkin' down the street, lookin' fine as she could be.
Hey, hey!
Well, you have love and conversation,
Whoa, yeah, what I say!
Hey, hey!
She's about a mover.
She's about a mover.
She's about a mover.
She's about a mover.
Hey, hey, hey, hey,
What I say!
She's about a mover.
She's about a mover.
Well, you know I love you, baby.
Whoa, yeah, what I say!
Hey, hey!

Well, she strolled on up to me and said, 
""Hey, big boy, what's your name?""
Hey, hey!
Well, she strolled on up to me and said,
""Hey, big boy, what's your name?""
Hey, hey!
Well, you know I love you, baby.
Whoa, yeah, what I say,
Hey, hey!
She's about a mover.
She's about a mover.
She's about a mover.
She's about a mover.
Hey, hey, hey, hey"
120,"Sir Douglas Quintet","Mendocino","Teeny Bopper, my teenage lover
I caught your waves last night
It sent my mind to wonderin'.
You're such a groove

Please don't move
Please stay in my love house by the river.
Fast talkin' guys with strange red eyes
Have put things in your head

And started your mind to wonderin'
I love you so, please don't go
Please stay here with me in Mendocino.
Mendocino, Mendocino,

Where life's such a groove
You blow your mind in the morning.
We used to walk through the park,
Make love along the way in Mendocino.

(Ah, play it, Augie! Yeah!)
Hey!
Like I told you, Can you dig it?
If you want to groove, I'll be glad to have you.

'Cause I love you so, please don't go,
Please stay here with me in Mendocino,
Mendocino, Mendocino
Where life's such a groove,

You blow your mind in the morning
We used to walk through the park,
Make love along the way in Mendocino
Mendocino, Mendocino, Mendocino"
